epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.355,1.70939,6.69906,1.04586,0.51632,0.00051,0.00036,0.00022,1.58107,4.04108,0.95035,8.31967e-06,8.31967e-06,8.31967e-06
2,442.156,1.63855,4.92797,0.96035,0.00071,0.01772,0.00092,0.00065,1.50719,3.39461,0.92735,1.63782e-05,1.63782e-05,1.63782e-05
3,651.925,1.62376,4.44887,0.94691,0.00442,0.04462,0.00417,0.00342,1.48443,3.10094,0.92362,2.41618e-05,2.41618e-05,2.41618e-05
4,872.289,1.58899,4.125,0.93678,0.00144,0.07375,0.00333,0.0025,1.45777,2.92441,0.91356,2.37625e-05,2.37625e-05,2.37625e-05
5,1094.35,1.57302,3.94579,0.93519,0.41442,0.01132,0.00367,0.00282,1.43966,2.83758,0.91817,2.335e-05,2.335e-05,2.335e-05
6,1308.65,1.5468,3.77193,0.92967,0.26337,0.02431,0.00438,0.00347,1.41145,2.75054,0.90817,2.29375e-05,2.29375e-05,2.29375e-05
7,1534.71,1.52903,3.67116,0.92715,0.33607,0.01971,0.00472,0.00367,1.40462,2.71202,0.90802,2.2525e-05,2.2525e-05,2.2525e-05
8,1751.06,1.5267,3.54929,0.92611,0.56341,0.0067,0.00522,0.00404,1.38517,2.66258,0.90596,2.21125e-05,2.21125e-05,2.21125e-05
9,1970.47,1.52153,3.51697,0.92607,0.59296,0.00634,0.00621,0.00492,1.37817,2.63781,0.90715,2.17e-05,2.17e-05,2.17e-05
10,2194.42,1.49921,3.43287,0.92029,0.60849,0.00796,0.00648,0.00496,1.37036,2.6009,0.90504,2.12875e-05,2.12875e-05,2.12875e-05
11,2411.6,1.48506,3.32851,0.92029,0.61581,0.00838,0.00762,0.00595,1.36224,2.5755,0.90163,2.0875e-05,2.0875e-05,2.0875e-05
12,2631.48,1.48895,3.31341,0.91814,0.59657,0.0089,0.00843,0.00669,1.3546,2.55644,0.89969,2.04625e-05,2.04625e-05,2.04625e-05
13,2853.7,1.47338,3.24143,0.91686,0.6134,0.00952,0.011,0.0088,1.3441,2.53822,0.89946,2.005e-05,2.005e-05,2.005e-05
14,3069.42,1.46173,3.18144,0.9178,0.58462,0.00978,0.01127,0.00884,1.33314,2.50929,0.90062,1.96375e-05,1.96375e-05,1.96375e-05
15,3326.35,1.46141,3.14273,0.91353,0.60002,0.01031,0.0119,0.0094,1.34242,2.50294,0.89958,1.9225e-05,1.9225e-05,1.9225e-05
16,3544.01,1.464,3.12144,0.91193,0.62189,0.01093,0.01306,0.01029,1.32289,2.46852,0.89454,1.88125e-05,1.88125e-05,1.88125e-05
17,3767.37,1.44617,3.04242,0.90796,0.60488,0.0169,0.0145,0.01158,1.32545,2.44656,0.89857,1.84e-05,1.84e-05,1.84e-05
18,18988.5,1.45743,3.03176,0.91352,0.60178,0.01311,0.01528,0.01222,1.32302,2.42921,0.89558,1.79875e-05,1.79875e-05,1.79875e-05
19,19191,1.44457,2.97453,0.91067,0.61604,0.0173,0.01632,0.01297,1.32031,2.42102,0.89316,1.7575e-05,1.7575e-05,1.7575e-05
20,19408.2,1.44207,2.9608,0.90918,0.61034,0.01781,0.01573,0.01246,1.3154,2.39078,0.89498,1.71625e-05,1.71625e-05,1.71625e-05
21,19659,1.43696,2.92991,0.90843,0.61973,0.01602,0.0167,0.01334,1.31872,2.39954,0.89465,1.675e-05,1.675e-05,1.675e-05
22,19893.6,1.44576,2.90137,0.90805,0.61805,0.01945,0.01807,0.01448,1.30432,2.38478,0.89252,1.63375e-05,1.63375e-05,1.63375e-05
