epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,20146.1,1.42251,2.86553,0.9041,0.6122,0.02343,0.01766,0.01398,1.30587,2.36655,0.89282,1.5925e-05,1.5925e-05,1.5925e-05
24,20395.2,1.40773,2.82577,0.90582,0.62545,0.02295,0.01951,0.0157,1.30004,2.34431,0.89439,1.55125e-05,1.55125e-05,1.55125e-05
25,20657.5,1.4149,2.81563,0.90533,0.60823,0.02292,0.02026,0.01623,1.30184,2.33607,0.8925,1.51e-05,1.51e-05,1.51e-05
26,20897.8,1.42295,2.79497,0.90529,0.61481,0.02549,0.02034,0.01628,1.29856,2.33713,0.89114,1.46875e-05,1.46875e-05,1.46875e-05
27,21137.4,1.41654,2.76849,0.90553,0.59557,0.0246,0.02053,0.01643,1.29584,2.31013,0.89097,1.4275e-05,1.4275e-05,1.4275e-05
28,21383.4,1.42398,2.77929,0.90547,0.59534,0.02789,0.02178,0.01739,1.29018,2.30294,0.88981,1.38625e-05,1.38625e-05,1.38625e-05
29,21618.6,1.40644,2.73129,0.90363,0.60686,0.02857,0.02297,0.01854,1.29233,2.30441,0.88916,1.345e-05,1.345e-05,1.345e-05
30,21853.8,1.39979,2.7165,0.9037,0.60212,0.03107,0.0237,0.01912,1.29005,2.28131,0.89288,1.30375e-05,1.30375e-05,1.30375e-05
31,22079.2,1.41932,2.70639,0.90382,0.6263,0.02686,0.02412,0.01955,1.28917,2.2773,0.88932,1.2625e-05,1.2625e-05,1.2625e-05
32,22405.4,1.3861,2.67015,0.89986,0.61614,0.027,0.0253,0.02014,1.284,2.2769,0.88794,1.22125e-05,1.22125e-05,1.22125e-05
33,22640.4,1.39513,2.6621,0.89936,0.58919,0.02843,0.02561,0.02045,1.28305,2.25923,0.88992,1.18e-05,1.18e-05,1.18e-05
34,22864.9,1.41066,2.64407,0.90223,0.59597,0.02958,0.02578,0.02077,1.27915,2.24728,0.89008,1.13875e-05,1.13875e-05,1.13875e-05
35,23077.5,1.38166,2.62594,0.89922,0.58118,0.03277,0.02675,0.02161,1.28109,2.25079,0.88762,1.0975e-05,1.0975e-05,1.0975e-05
36,23293.9,1.40796,2.64261,0.90191,0.59317,0.02927,0.027,0.02185,1.28205,2.25234,0.88868,1.05625e-05,1.05625e-05,1.05625e-05
37,23517.5,1.39675,2.64227,0.90051,0.60216,0.02832,0.02603,0.02078,1.27864,2.2374,0.88846,1.015e-05,1.015e-05,1.015e-05
38,23732.1,1.39225,2.58252,0.90318,0.59576,0.03054,0.02768,0.02225,1.28244,2.23306,0.88905,9.7375e-06,9.7375e-06,9.7375e-06
39,23948.7,1.38677,2.59242,0.89962,0.58318,0.03183,0.02745,0.02181,1.28171,2.22888,0.88813,9.325e-06,9.325e-06,9.325e-06
40,24165.9,1.39616,2.57919,0.9001,0.60375,0.03107,0.02789,0.02228,1.27751,2.22589,0.888,8.9125e-06,8.9125e-06,8.9125e-06
41,24381.5,1.39246,2.57724,0.89911,0.59452,0.03026,0.02718,0.02152,1.2807,2.21911,0.88808,8.5e-06,8.5e-06,8.5e-06
42,24594.1,1.40067,2.55588,0.90004,0.61007,0.03244,0.02836,0.02247,1.27391,2.21652,0.88876,8.0875e-06,8.0875e-06,8.0875e-06
43,24808,1.39093,2.55652,0.89902,0.5915,0.03366,0.02862,0.02271,1.27325,2.21288,0.88868,7.675e-06,7.675e-06,7.675e-06
44,25070.9,1.38262,2.55454,0.89776,0.60123,0.0339,0.02873,0.0229,1.27448,2.20747,0.88778,7.2625e-06,7.2625e-06,7.2625e-06
45,25318.6,1.38195,2.52859,0.89991,0.58776,0.03287,0.02803,0.02219,1.2757,2.20869,0.88824,6.85e-06,6.85e-06,6.85e-06
46,25566.7,1.37243,2.51637,0.8972,0.57931,0.03516,0.02979,0.02371,1.27275,2.20011,0.88899,6.4375e-06,6.4375e-06,6.4375e-06
47,25833.1,1.3787,2.52918,0.899,0.58262,0.03479,0.02912,0.02307,1.27208,2.20466,0.88768,6.025e-06,6.025e-06,6.025e-06
48,26165.3,1.38867,2.51806,0.8987,0.5814,0.03511,0.03025,0.02411,1.27162,2.1974,0.88873,5.6125e-06,5.6125e-06,5.6125e-06
